PID	Status	Label
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
14702	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
-	0	com.apple.storeuid
17344	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
662	0	com.apple.CryptoTokenKit.ahp.agent
-	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
-	0	com.apple.remindd
-	0	com.apple.appsleep
1433	0	com.apple.duetexpertd
511	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
-	0	com.apple.siri-distributed-evaluation
473	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
387	0	com.apple.lsd
530	0	com.apple.siri.context.service
-	0	com.apple.fskit.fskit_agent
409	0	com.apple.pluginkit.pkd
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	0	com.apple.webkit.webpushd
3817	0	com.apple.weatherd
474	0	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
488	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
609	0	com.apple.CallHistorySyncHelper
543	0	com.apple.colorsync.useragent
624	0	com.apple.analyticsagent
506	0	com.apple.appleaccountd
546	0	com.apple.parsecd
4842	0	com.apple.mlruntimed
443	0	com.apple.Dock.agent
64444	0	com.apple.parsec-fbf
470	0	com.apple.dmd
420	0	com.apple.transparencyd
408	0	com.apple.AppSSOAgent
34611	0	com.apple.mbuseragent
565	0	com.apple.security.cloudkeychainproxy3
374	0	com.apple.UserEventAgent-Aqua
452	0	com.apple.followupd
391	0	com.apple.identityservicesd
392	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
551	0	com.apple.generativeexperiencesd
4560	0	com.apple.XProtect.agent.scan
942	0	com.apple.storekitagent
12754	0	com.apple.security.DiskUnmountWatcher
423	0	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
383	0	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
385	0	com.apple.backgroundtaskmanagement.agent
-	0	com.apple.intelligenceflowd
4067	0	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
3885	0	com.apple.feedbackd
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
378	0	com.apple.BTServer.cloudpairing
-	0	us.zoom.updater.login.check
-	0	com.apple.managedcorespotlightd
449	0	com.apple.coreservices.sharedfilelistd
386	0	com.apple.pboard
780	0	com.apple.nowplayingtouchui
3864	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
-	0	com.apple.reversetemplated
1320	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
427	0	com.apple.rapportd
722	0	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
65307	0	com.apple.mdworker.shared.09000000-0100-0000-0000-000000000000
-	0	com.apple.accounts.dom
576	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
390	0	com.apple.containermanagerd
555	0	com.apple.SafeEjectGPUService
531	0	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
65462	0	com.apple.mdworker.shared.02000000-0600-0000-0000-000000000000
-	0	com.apple.Notes.datastore
4072	0	com.apple.mlhostd
6214	0	com.apple.preference.displays.MirrorDisplays
479	0	com.apple.IOUIAgent
379	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
389	0	com.apple.accountsd
401	0	com.apple.cdpd
455	0	com.apple.routined
413	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
491	0	com.apple.BiomeAgent
